date,S1counts,S1SM,S1Perm,S1Temp,S1Volt,S2counts,S2SM,S2Perm,S2Temp,S2Volt,S3counts,S3SM,S3Perm,S3Temp,S3Volt,S4counts,S4SM,S4Perm,S4Temp,S4Volt,S5counts,S5SM,S5Perm,S5Temp,S5Volt,S6counts,S6SM,S6Perm,S6Temp,S6Volt,S7counts,S7SM,S7Perm,S7Temp,S7Volt,S8counts,S8SM,S8Perm,S8Temp,S8Volt,S9counts,S9SM,S9Perm,S9Temp,S9Volt,S10counts,S10SM,S10Perm,S10Temp,S10Volt
2020-09-17 10:47:01,13324.0,7.42,13.51,31.578000000000003,12.3,11863.0,13.97,25.94,30.969,12.3,11846.0,13.27,24.76,31.195,12.4,13017.0,8.16,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:49:01,13321.0,7.42,13.52,31.633000000000003,12.3,11859.0,14.0,25.98,30.991999999999997,12.3,11845.0,13.27,24.77,31.188000000000002,12.4,13018.0,8.15,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:50:01,13321.0,7.42,13.52,31.648000000000003,12.27,11858.0,14.01,25.99,31.023000000000003,12.3,11846.0,13.27,24.76,31.203000000000003,12.4,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:51:01,13321.0,7.42,13.52,31.664,12.3,11859.0,14.0,25.98,31.023000000000003,12.3,11845.0,13.27,24.77,31.234,12.43,13018.0,8.15,15.09,30.531,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:52:01,13321.0,7.42,13.52,31.688000000000002,12.3,11859.0,14.0,25.98,31.023000000000003,12.3,11845.0,13.27,24.77,31.18,12.4,13018.0,8.15,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:53:01,13321.0,7.42,13.52,31.703000000000003,12.3,11859.0,14.0,25.98,31.016,12.3,11846.0,13.27,24.76,31.188000000000002,12.43,13018.0,8.15,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:54:01,13321.0,7.42,13.52,31.711,12.3,11858.0,14.01,25.99,30.984,12.3,11846.0,13.27,24.76,31.211,12.43,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:55:01,13321.0,7.42,13.52,31.758000000000003,12.3,11859.0,14.0,25.98,31.008000000000003,12.3,11845.0,13.27,24.77,31.226999999999997,12.43,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:56:01,13321.0,7.42,13.52,31.741999999999997,12.3,11858.0,14.01,25.99,31.008000000000003,12.3,11846.0,13.27,24.76,31.203000000000003,12.43,13018.0,8.15,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:57:01,13321.0,7.42,13.52,31.758000000000003,12.3,11858.0,14.01,25.99,31.016,12.3,11846.0,13.27,24.76,31.18,12.43,13017.0,8.16,15.09,30.523000000000003,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:58:01,13321.0,7.42,13.52,31.781,12.3,11858.0,14.01,25.99,31.046999999999997,12.3,11846.0,13.27,24.76,31.195,12.43,13018.0,8.15,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 10:59:01,13321.0,7.42,13.52,31.781,12.3,11856.0,14.02,26.01,31.016,12.3,11848.0,13.26,24.75,31.219,12.43,13017.0,8.16,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:00:01,13321.0,7.42,13.52,31.805,12.3,11856.0,14.02,26.01,31.016,12.3,11848.0,13.26,24.75,31.226999999999997,12.43,13016.0,8.16,15.1,30.546999999999997,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:01:01,13321.0,7.42,13.52,31.813000000000002,12.3,11856.0,14.02,26.01,31.063000000000002,12.3,11848.0,13.26,24.75,31.195,12.43,13017.0,8.16,15.09,30.546999999999997,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:02:01,13321.0,7.42,13.52,31.813000000000002,12.3,11856.0,14.02,26.01,31.0,12.3,11848.0,13.26,24.75,31.234,12.43,13016.0,8.16,15.1,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:03:01,13321.0,7.42,13.52,31.851999999999997,12.3,11856.0,14.02,26.01,31.07,12.3,11849.0,13.25,24.74,31.219,12.43,13017.0,8.16,15.09,30.546999999999997,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:04:01,13321.0,7.42,13.52,31.805,12.3,11856.0,14.02,26.01,31.031,12.3,11848.0,13.26,24.75,31.226999999999997,12.43,13016.0,8.16,15.1,30.539,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:05:01,13321.0,7.42,13.52,31.866999999999997,12.3,11856.0,14.02,26.01,31.023000000000003,12.3,11848.0,13.26,24.75,31.241999999999997,12.43,13016.0,8.16,15.1,30.57,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:06:01,13321.0,7.42,13.52,31.891,12.3,11856.0,14.02,26.01,31.078000000000003,12.32,11849.0,13.25,24.74,31.226999999999997,12.43,13017.0,8.16,15.09,30.539,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:07:01,13321.0,7.42,13.52,31.906,12.3,11856.0,14.02,26.01,31.055,12.3,11848.0,13.26,24.75,31.195,12.43,13017.0,8.16,15.09,30.531,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:08:01,13321.0,7.42,13.52,31.875,12.3,11856.0,14.02,26.01,31.031,12.3,11849.0,13.25,24.74,31.226999999999997,12.43,13017.0,8.16,15.09,30.539,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:09:01,13321.0,7.42,13.52,31.914,12.3,11856.0,14.02,26.01,31.07,12.32,11849.0,13.25,24.74,31.219,12.43,13016.0,8.16,15.1,30.563000000000002,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:10:01,13321.0,7.42,13.52,31.891,12.3,11856.0,14.02,26.01,31.031,12.3,11849.0,13.25,24.74,31.226999999999997,12.43,13017.0,8.16,15.09,30.539,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:11:01,13321.0,7.42,13.52,31.953000000000003,12.3,11856.0,14.02,26.01,31.039,12.3,11849.0,13.25,24.74,31.203000000000003,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:12:01,13321.0,7.42,13.52,31.976999999999997,12.3,11856.0,14.02,26.01,31.039,12.3,11848.0,13.26,24.75,31.211,12.43,13017.0,8.16,15.09,30.563000000000002,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:13:01,13321.0,7.42,13.52,31.921999999999997,12.3,11856.0,14.02,26.01,31.046999999999997,12.3,11848.0,13.26,24.75,31.195,12.43,13016.0,8.16,15.1,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:14:01,13321.0,7.42,13.52,31.969,12.3,11856.0,14.02,26.01,31.031,12.3,11848.0,13.26,24.75,31.219,12.43,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:15:01,13321.0,7.42,13.52,31.984,12.3,11856.0,14.02,26.01,31.07,12.3,11848.0,13.26,24.75,31.195,12.43,13017.0,8.16,15.09,30.516,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:16:01,13321.0,7.42,13.52,32.008,12.3,11856.0,14.02,26.01,31.031,12.3,11849.0,13.25,24.74,31.195,12.43,13017.0,8.16,15.09,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:17:01,13321.0,7.42,13.52,32.0,12.3,11856.0,14.02,26.01,31.039,12.3,11849.0,13.25,24.74,31.226999999999997,12.43,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:18:01,13321.0,7.42,13.52,31.991999999999997,12.3,11856.0,14.02,26.01,31.046999999999997,12.3,11849.0,13.25,24.74,31.219,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:19:01,13321.0,7.42,13.52,32.039,12.3,11856.0,14.02,26.01,31.07,12.3,11848.0,13.26,24.75,31.211,12.43,13016.0,8.16,15.1,30.546999999999997,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:20:01,13320.0,7.43,13.53,32.047,12.3,11856.0,14.02,26.01,31.078000000000003,12.3,11849.0,13.25,24.74,31.234,12.43,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:21:01,13320.0,7.43,13.53,32.063,12.3,11856.0,14.02,26.01,31.063000000000002,12.3,11849.0,13.25,24.74,31.171999999999997,12.43,13017.0,8.16,15.09,30.531,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:22:01,13321.0,7.42,13.52,32.086,12.3,11856.0,14.02,26.01,31.063000000000002,12.3,11849.0,13.25,24.74,31.195,12.43,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:23:01,13321.0,7.42,13.52,32.078,12.3,11856.0,14.02,26.01,31.055,12.3,11848.0,13.26,24.75,31.211,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:24:01,13321.0,7.42,13.52,32.086,12.3,11856.0,14.02,26.01,31.055,12.3,11848.0,13.26,24.75,31.164,12.43,13017.0,8.16,15.09,30.586,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:25:01,13320.0,7.43,13.53,32.117,12.3,11856.0,14.02,26.01,31.055,12.3,11849.0,13.25,24.74,31.195,12.43,13017.0,8.16,15.09,30.563000000000002,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:26:01,13320.0,7.43,13.53,32.125,12.3,11856.0,14.02,26.01,31.055,12.3,11848.0,13.26,24.75,31.171999999999997,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:27:01,13320.0,7.43,13.53,32.188,12.3,11856.0,14.02,26.01,31.055,12.3,11849.0,13.25,24.74,31.188000000000002,12.43,13017.0,8.16,15.09,30.546999999999997,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:28:01,13319.0,7.43,13.54,32.172,12.3,11856.0,14.02,26.01,31.101999999999997,12.3,11848.0,13.26,24.75,31.203000000000003,12.43,13017.0,8.16,15.09,30.523000000000003,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:29:01,13319.0,7.43,13.54,32.18,12.3,11856.0,14.02,26.01,31.039,12.3,11848.0,13.26,24.75,31.203000000000003,12.43,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:30:01,13319.0,7.43,13.54,32.188,12.3,11856.0,14.02,26.01,31.063000000000002,12.3,11848.0,13.26,24.75,31.203000000000003,12.43,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:31:01,13318.0,7.44,13.55,32.195,12.3,11856.0,14.02,26.01,31.055,12.3,11848.0,13.26,24.75,31.211,12.43,13017.0,8.16,15.09,30.555,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:32:01,13319.0,7.43,13.54,32.258,12.3,11856.0,14.02,26.01,31.094,12.3,11848.0,13.26,24.75,31.226999999999997,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:33:01,13318.0,7.44,13.55,32.242,12.3,11856.0,14.02,26.01,31.086,12.3,11848.0,13.26,24.75,31.195,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:34:01,13319.0,7.43,13.54,32.273,12.3,11856.0,14.02,26.01,31.086,12.3,11849.0,13.25,24.74,31.211,12.43,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:35:01,13320.0,7.43,13.53,32.281,12.3,11855.0,14.03,26.02,31.078000000000003,12.3,11850.0,13.25,24.73,31.219,12.43,13018.0,8.15,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:36:01,13320.0,7.43,13.53,32.32,12.3,11855.0,14.03,26.02,31.109,12.3,11850.0,13.25,24.73,31.195,12.43,13018.0,8.15,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:37:01,13320.0,7.43,13.53,32.32,12.3,11855.0,14.03,26.02,31.101999999999997,12.3,11850.0,13.25,24.73,31.195,12.43,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:38:01,13319.0,7.43,13.54,32.359,12.3,11854.0,14.03,26.03,31.094,12.3,11850.0,13.25,24.73,31.188000000000002,12.43,13017.0,8.16,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:39:01,13320.0,7.43,13.53,32.336,12.3,11854.0,14.03,26.03,31.133000000000003,12.3,11851.0,13.24,24.71,31.219,12.4,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:40:01,13320.0,7.43,13.53,32.391,12.3,11855.0,14.03,26.02,31.116999999999997,12.3,11850.0,13.25,24.73,31.188000000000002,12.4,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:41:01,13319.0,7.43,13.54,32.367,12.3,11854.0,14.03,26.03,31.078000000000003,12.3,11850.0,13.25,24.73,31.188000000000002,12.4,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:42:01,13319.0,7.43,13.54,32.43,12.3,11855.0,14.03,26.02,31.07,12.3,11850.0,13.25,24.73,31.195,12.4,13017.0,8.16,15.09,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:43:01,13319.0,7.43,13.54,32.438,12.3,11855.0,14.03,26.02,31.078000000000003,12.3,11851.0,13.24,24.71,31.203000000000003,12.4,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:44:01,13319.0,7.43,13.54,32.445,12.3,11855.0,14.03,26.02,31.133000000000003,12.3,11850.0,13.25,24.73,31.211,12.43,13017.0,8.16,15.09,30.531,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:45:01,13319.0,7.43,13.54,32.477,12.3,11854.0,14.03,26.03,31.116999999999997,12.3,11850.0,13.25,24.73,31.171999999999997,12.43,13017.0,8.16,15.09,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:46:01,13317.0,7.44,13.55,32.477,12.3,11856.0,14.02,26.01,31.086,12.3,11849.0,13.25,24.74,31.18,12.43,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:47:01,13317.0,7.44,13.55,32.5,12.3,11856.0,14.02,26.01,31.101999999999997,12.3,11849.0,13.25,24.74,31.188000000000002,12.43,13017.0,8.16,15.09,30.531,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:48:01,13317.0,7.44,13.55,32.555,12.3,11856.0,14.02,26.01,31.101999999999997,12.3,11849.0,13.25,24.74,31.219,12.4,13018.0,8.15,15.09,30.531,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:49:01,13317.0,7.44,13.55,32.547,12.3,11856.0,14.02,26.01,31.07,12.3,11849.0,13.25,24.74,31.156,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:50:01,13316.0,7.44,13.56,32.586,12.3,11856.0,14.02,26.01,31.078000000000003,12.3,11848.0,13.26,24.75,31.188000000000002,12.43,13017.0,8.16,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:51:01,13315.0,7.44,13.56,32.594,12.3,11856.0,14.02,26.01,31.116999999999997,12.3,11849.0,13.25,24.74,31.203000000000003,12.43,13018.0,8.15,15.09,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:52:01,13316.0,7.44,13.56,32.633,12.3,11856.0,14.02,26.01,31.109,12.3,11848.0,13.26,24.75,31.195,12.43,13018.0,8.15,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:53:01,13315.0,7.44,13.56,32.648,12.3,11856.0,14.02,26.01,31.125,12.3,11848.0,13.26,24.75,31.203000000000003,12.43,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:54:01,13315.0,7.44,13.56,32.664,12.3,11856.0,14.02,26.01,31.141,12.3,11848.0,13.26,24.75,31.211,12.43,13017.0,8.16,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:55:01,13315.0,7.44,13.56,32.648,12.3,11856.0,14.02,26.01,31.125,12.3,11849.0,13.25,24.74,31.18,12.43,13017.0,8.16,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:56:01,13315.0,7.44,13.56,32.672,12.3,11856.0,14.02,26.01,31.094,12.3,11848.0,13.26,24.75,31.18,12.43,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:57:01,13315.0,7.44,13.56,32.68,12.3,11856.0,14.02,26.01,31.116999999999997,12.3,11849.0,13.25,24.74,31.203000000000003,12.43,13018.0,8.15,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:58:01,13315.0,7.44,13.56,32.68,12.3,11856.0,14.02,26.01,31.116999999999997,12.3,11849.0,13.25,24.74,31.188000000000002,12.43,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 11:59:01,13315.0,7.44,13.56,32.727,12.3,11856.0,14.02,26.01,31.116999999999997,12.3,11848.0,13.26,24.75,31.195,12.43,13018.0,8.15,15.09,30.594,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:00:01,13316.0,7.44,13.56,32.727,12.3,11857.0,14.01,26.0,31.125,12.3,11849.0,13.25,24.74,31.156,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:01:01,13316.0,7.44,13.56,32.766,12.3,11857.0,14.01,26.0,31.125,12.3,11850.0,13.25,24.73,31.203000000000003,12.43,13017.0,8.16,15.09,30.531,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:02:01,13315.0,7.44,13.56,32.742,12.3,11857.0,14.01,26.0,31.125,12.3,11849.0,13.25,24.74,31.195,12.43,13017.0,8.16,15.09,30.578000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:03:01,13314.0,7.45,13.57,32.766,12.3,11857.0,14.01,26.0,31.133000000000003,12.3,11851.0,13.24,24.71,31.188000000000002,12.43,13017.0,8.16,15.09,30.531,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:04:01,13314.0,7.45,13.57,32.781,12.3,11857.0,14.01,26.0,31.101999999999997,12.3,11850.0,13.25,24.73,31.141,12.43,13017.0,8.16,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:05:01,13314.0,7.45,13.57,32.82,12.3,11857.0,14.01,26.0,31.148000000000003,12.3,11851.0,13.24,24.71,31.188000000000002,12.43,13018.0,8.15,15.09,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:06:01,13315.0,7.44,13.56,32.844,12.3,11857.0,14.01,26.0,31.125,12.3,11851.0,13.24,24.71,31.164,12.43,13017.0,8.16,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:07:01,13314.0,7.45,13.57,32.844,12.3,11857.0,14.01,26.0,31.141,12.3,11851.0,13.24,24.71,31.211,12.43,13017.0,8.16,15.09,30.586,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:08:01,13314.0,7.45,13.57,32.844,12.3,11856.0,14.02,26.01,31.133000000000003,12.3,11851.0,13.24,24.71,31.195,12.43,13017.0,8.16,15.09,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:09:01,13312.0,7.45,13.58,32.852,12.3,11856.0,14.02,26.01,31.148000000000003,12.3,11850.0,13.25,24.73,31.211,12.4,13017.0,8.16,15.09,30.594,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:10:01,13312.0,7.45,13.58,32.859,12.3,11857.0,14.01,26.0,31.101999999999997,12.3,11851.0,13.24,24.71,31.211,12.43,13017.0,8.16,15.09,30.586,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:11:01,13314.0,7.45,13.57,32.891,12.3,11857.0,14.01,26.0,31.116999999999997,12.3,11850.0,13.25,24.73,31.203000000000003,12.43,13018.0,8.15,15.09,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:12:01,13312.0,7.45,13.58,32.891,12.3,11856.0,14.02,26.01,31.125,12.3,11851.0,13.24,24.71,31.188000000000002,12.43,13018.0,8.15,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:13:01,13311.0,7.45,13.59,32.898,12.3,11857.0,14.01,26.0,31.164,12.3,11851.0,13.24,24.71,31.156,12.43,13017.0,8.16,15.09,30.539,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:14:01,13311.0,7.45,13.59,32.906,12.3,11857.0,14.01,26.0,31.156,12.3,11850.0,13.25,24.73,31.188000000000002,12.43,13017.0,8.16,15.09,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:15:01,13311.0,7.45,13.59,32.969,12.3,11857.0,14.01,26.0,31.156,12.3,11850.0,13.25,24.73,31.18,12.43,13017.0,8.16,15.09,30.578000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:16:01,13311.0,7.45,13.59,32.961,12.3,11857.0,14.01,26.0,31.171999999999997,12.3,11850.0,13.25,24.73,31.18,12.43,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:17:01,13310.0,7.46,13.6,32.961,12.3,11857.0,14.01,26.0,31.156,12.3,11850.0,13.25,24.73,31.171999999999997,12.43,13018.0,8.15,15.09,30.523000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:18:01,13309.0,7.46,13.6,32.953,12.3,11856.0,14.02,26.01,31.148000000000003,12.3,11850.0,13.25,24.73,31.203000000000003,12.43,13017.0,8.16,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:19:01,13309.0,7.46,13.6,33.008,12.3,11857.0,14.01,26.0,31.148000000000003,12.3,11849.0,13.25,24.74,31.156,12.43,13018.0,8.15,15.09,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:20:01,13310.0,7.46,13.6,33.039,12.3,11857.0,14.01,26.0,31.148000000000003,12.3,11844.0,13.28,24.78,31.188000000000002,12.4,13020.0,8.15,15.07,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:21:01,13312.0,7.45,13.58,33.023,12.3,11856.0,14.02,26.01,31.125,12.3,11844.0,13.28,24.78,31.18,12.43,13020.0,8.15,15.07,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:22:01,13310.0,7.46,13.6,33.016,12.3,11857.0,14.01,26.0,31.188000000000002,12.3,11845.0,13.27,24.77,31.156,12.43,13020.0,8.15,15.07,30.57,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:23:01,13310.0,7.46,13.6,33.055,12.3,11857.0,14.01,26.0,31.141,12.3,11843.0,13.28,24.79,31.203000000000003,12.43,13020.0,8.15,15.07,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:24:01,13310.0,7.46,13.6,33.078,12.3,11857.0,14.01,26.0,31.171999999999997,12.3,11844.0,13.28,24.78,31.171999999999997,12.4,13020.0,8.15,15.07,30.555,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:25:01,13310.0,7.46,13.6,33.07,12.3,11857.0,14.01,26.0,31.18,12.3,11844.0,13.28,24.78,31.164,12.43,13019.0,8.15,15.08,30.563000000000002,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:26:01,13309.0,7.46,13.6,33.086,12.3,11857.0,14.01,26.0,31.171999999999997,12.3,11844.0,13.28,24.78,31.188000000000002,12.43,13019.0,8.15,15.08,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:27:01,13309.0,7.46,13.6,33.102,12.3,11857.0,14.01,26.0,31.18,12.3,11844.0,13.28,24.78,31.188000000000002,12.43,13019.0,8.15,15.08,30.578000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:28:01,13309.0,7.46,13.6,33.125,12.3,11857.0,14.01,26.0,31.195,12.3,11844.0,13.28,24.78,31.211,12.43,13020.0,8.15,15.07,30.578000000000003,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:29:01,13309.0,7.46,13.6,33.125,12.3,11857.0,14.01,26.0,31.203000000000003,12.3,11844.0,13.28,24.78,31.164,12.43,13020.0,8.15,15.07,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17 12:30:01,13309.0,7.46,13.6,33.148,12.3,11857.0,14.01,26.0,31.141,12.3,11844.0,13.28,24.78,31.188000000000002,12.43,13020.0,8.15,15.07,30.546999999999997,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
